date,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010-01-10,Oct 2010,1.5574937535,1.40802968219,1.62863666148,1.83184125042,1.0071275112,0.851384013724,0.852246741645,0.728442601829,0.996836781609,0.0,1.51069181982,0.0231904761905,0.0,0.0,0.75394,0,0.0,0.0,0.0,0.0
2010-01-11,Nov 2010,1.85077220791,1.60313390393,1.76420096728,2.16010701736,1.44802296563,0.966380274712,0.937042386944,0.939786293989,0.849024538102,0.947962322421,1.88424871355,1.20966989088,1.1341,1.25061100196,0.8873444,0,0.0,0.0,0.720987179487,1.33288735632
2010-01-12,Dec 2010,1.93824347248,1.64520081764,1.85438595726,2.2622456231,1.5837187677,1.05198589831,1.14884837611,1.10996850206,1.01152220559,1.41393023723,1.76281065508,1.16904334951,1.53573875862,0.903148486786,1.1765941989,0,0.963375982533,0.0,1.27925172414,1.05723127895
2011-01-01,Jan 2011,2.1797155323,1.87300014164,1.93727221244,2.46040176345,1.84594131304,1.32479230509,1.43688065492,1.45778733704,1.37411751296,1.49195974256,2.1677898658,1.25233169134,1.31684674893,1.19350190034,1.64540471976,0,1.13945053111,0.328836619718,1.37190834106,1.26175264175
2011-01-02,Feb 2011,2.38235263599,2.09333800739,2.1159301976,2.512908943,2.08161867913,1.62718439481,1.63908400489,1.56271183071,1.5855443212,1.60937221073,2.43404030377,1.24821354816,1.42166736453,1.5998620857,1.308457844,0,1.55315847647,0.639525201072,2.17938426172,1.56957191776
2011-01-03,Mar 2011,2.62818124095,2.29120922272,2.46577012118,2.92480196016,2.39169729211,1.80728655834,1.93118166369,1.70894351868,1.74103234228,1.77952222552,2.41631645491,1.48075589697,1.63659275635,1.57318848088,1.10672133971,0,1.46877914046,0.969065683382,1.98464596503,1.6723880223
2011-01-04,Apr 2011,2.75560370349,2.35676095037,2.54866639781,3.06171377833,2.54986187615,1.96038479033,1.98450210936,1.65944461225,1.59970056837,1.61153451533,2.63019029503,1.44493641391,1.60927275431,1.59300316307,1.51649225923,0,1.09262719298,0.476223322684,2.39697224039,1.62785948889
2011-01-10,Oct 2011,1.16508449493,1.14302286595,1.42762052915,1.0938681307,0.809752324785,0.928770651577,0.823494756318,0.798973991507,0.9047,0.0,1.39673601469,0.618405890052,0.0,0.0,0.5077,0,0.0,0.0,0.0,0.0
2011-01-11,Nov 2011,1.58661306934,1.3169434898,1.60034510398,1.6325983312,1.1365832347,0.998834914467,0.944668649069,0.87443078105,1.04229418993,1.22603041825,1.78126615925,0.854819959793,1.10199085714,1.17085113924,1.03088671329,0,0.0,0.0,1.41065915493,0.887790961538
2011-01-12,Dec 2011,1.86562479382,1.34173472194,1.78770858572,2.11355805933,1.3228713241,1.13350527117,1.02328816567,1.06049003145,1.14750890897,0.828754174067,1.80658980283,1.10529470134,1.2490900135,1.16235229032,1.02673469945,0,0.0,0.0,1.56494015636,1.08639888611
2012-01-01,Jan 2012,2.14785139603,1.56111217676,1.87203269961,2.41434812674,1.60436342145,1.33526645716,1.30528551382,1.24594654889,1.2206528417,1.12734515195,2.6199573481,1.24327481433,1.47698568249,1.39642352687,1.14266944444,0,1.0916389313,0.0,2.19348507463,1.32604011289
2012-01-02,Feb 2012,2.22803185559,1.77148122276,2.29793641652,2.54765522356,1.86472819131,1.60819665613,1.47187407096,1.38892355254,1.43049816219,1.94946842105,2.45877577559,1.35408041661,1.47589162125,1.6724595364,1.36431027714,0,1.13176597938,0.730664238411,1.73698863976,1.50153927697
2012-01-03,Mar 2012,2.70015525589,1.91029747982,2.30963565342,2.92178401922,2.02294948828,1.75311156362,1.64636241736,1.47981791675,1.34054556751,1.22921632489,3.35229655984,1.5864672373,1.6488070016,1.81953264384,1.50727268966,0,1.6446502627,1.73428648649,2.50331717086,1.58825033271
2012-01-04,Apr 2012,2.80916282281,2.05885275121,2.25638874648,2.92796888009,2.26381169548,2.02829775925,1.89841738553,1.5063931608,1.26747381941,1.26467669993,2.56149040656,1.53509050847,2.07627024691,1.85361861152,1.56682674638,0,1.10794792899,3.0871,2.1889077179,1.62397568046
2012-01-10,Oct 2012,1.46840119766,1.15548411903,1.4021392588,1.6665688928,0.8718381841,0.796738731006,0.768448242334,0.635955194615,2.0662,1.44954262295,1.148952539,0.448461068702,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2012-01-11,Nov 2012,1.84234348761,1.39196263853,1.61489123847,2.20893767728,1.14796180117,1.09546259887,0.84790118095,0.788587057686,0.839666891892,1.68090625,1.80540148287,1.01525718326,1.00347047308,0.906370106762,0.435732407407,0,0.0,0.0,0.853220289855,0.965554402895
2012-01-12,Dec 2012,1.95362120245,1.41541213541,1.58022398148,2.33355219244,1.40904964518,1.23131411235,1.117366924,1.0740870394,1.05092256423,1.81027572816,2.10029124032,0.977793023256,1.17102530634,1.10736794412,0.764459654179,0,0.600774782609,0.0,1.62806682081,1.16334537919
2013-01-01,Jan 2013,2.26383453011,1.42269828815,1.39852908093,2.75013739863,1.58896494355,1.45622692836,1.29800795638,1.19793492014,1.12187613353,1.08299367397,2.12920761749,1.03404876645,1.17995505175,1.30914034075,1.10358491525,0,1.56291903643,0.909405462185,2.56300925373,1.29913396711
2013-01-02,Feb 2013,2.34385177008,1.4655218601,1.42118260505,2.92170313818,1.69550721627,1.48192422571,1.33655152761,1.22073264222,1.39167789857,1.20234032911,2.12549220174,1.27722105403,1.35219368155,1.4604692992,1.16044556482,0,1.05479600798,0.780813994169,2.82745862989,1.4756947052
