lat,lon
7.165600000000000591e+01,2.341400000000000148e+01
7.165699999999999648e+01,2.341900000000000048e+01
7.165900000000000603e+01,2.342899999999999849e+01
7.166100000000000136e+01,2.343900000000000006e+01
7.166200000000000614e+01,2.344399999999999906e+01
7.166400000000000148e+01,2.345400000000000063e+01
7.166599999999999682e+01,2.346399999999999864e+01
7.166800000000000637e+01,2.347400000000000020e+01
7.167000000000000171e+01,2.348400000000000176e+01
7.167100000000000648e+01,2.348900000000000077e+01
7.167199999999999704e+01,2.349399999999999977e+01
7.167300000000000182e+01,2.349899999999999878e+01
7.167400000000000659e+01,2.350400000000000134e+01
7.167499999999999716e+01,2.350900000000000034e+01
7.167600000000000193e+01,2.351399999999999935e+01
7.167700000000000671e+01,2.351899999999999835e+01
7.167799999999999727e+01,2.352400000000000091e+01
7.167900000000000205e+01,2.352899999999999991e+01
7.168000000000000682e+01,2.353399999999999892e+01
7.168099999999999739e+01,2.353900000000000148e+01
7.168200000000000216e+01,2.354400000000000048e+01
7.168399999999999750e+01,2.355399999999999849e+01
7.168600000000000705e+01,2.356500000000000128e+01
7.168800000000000239e+01,2.357499999999999929e+01
7.168899999999999295e+01,2.357999999999999829e+01
7.168999999999999773e+01,2.358500000000000085e+01
7.169100000000000250e+01,2.358999999999999986e+01
7.169199999999999307e+01,2.359499999999999886e+01
7.169400000000000261e+01,2.360500000000000043e+01
7.169599999999999795e+01,2.361499999999999844e+01
7.169799999999999329e+01,2.362399999999999878e+01
7.170000000000000284e+01,2.363400000000000034e+01
7.170199999999999818e+01,2.364300000000000068e+01
7.170399999999999352e+01,2.365099999999999980e+01
7.170600000000000307e+01,2.365899999999999892e+01
7.170799999999999841e+01,2.366700000000000159e+01
7.170900000000000318e+01,2.367200000000000060e+01
7.171099999999999852e+01,2.367999999999999972e+01
7.171299999999999386e+01,2.368799999999999883e+01
7.171500000000000341e+01,2.369699999999999918e+01
7.171699999999999875e+01,2.370599999999999952e+01
7.171800000000000352e+01,2.371000000000000085e+01
7.171899999999999409e+01,2.371399999999999864e+01
7.172100000000000364e+01,2.372299999999999898e+01
7.172199999999999420e+01,2.372700000000000031e+01
7.172299999999999898e+01,2.373100000000000165e+01
7.172499999999999432e+01,2.373999999999999844e+01
7.172700000000000387e+01,2.374800000000000111e+01
7.172899999999999920e+01,2.375700000000000145e+01
7.173000000000000398e+01,2.376099999999999923e+01
7.173099999999999454e+01,2.376500000000000057e+01
7.173199999999999932e+01,2.376899999999999835e+01
7.173399999999999466e+01,2.377799999999999869e+01
7.173499999999999943e+01,2.378200000000000003e+01
7.173600000000000421e+01,2.378600000000000136e+01
7.173799999999999955e+01,2.379500000000000171e+01
7.173999999999999488e+01,2.380300000000000082e+01
7.174200000000000443e+01,2.381200000000000117e+01
7.174299999999999500e+01,2.381599999999999895e+01
7.174500000000000455e+01,2.382400000000000162e+01
7.174699999999999989e+01,2.383299999999999841e+01
7.174800000000000466e+01,2.383699999999999974e+01
7.174899999999999523e+01,2.384100000000000108e+01
7.175100000000000477e+01,2.385000000000000142e+01
7.175199999999999534e+01,2.385399999999999920e+01
7.175300000000000011e+01,2.385800000000000054e+01
7.175400000000000489e+01,2.386299999999999955e+01
7.175600000000000023e+01,2.387099999999999866e+01
7.175799999999999557e+01,2.387900000000000134e+01
7.175900000000000034e+01,2.388400000000000034e+01
7.176000000000000512e+01,2.388800000000000168e+01
7.176099999999999568e+01,2.389199999999999946e+01
7.176300000000000523e+01,2.390099999999999980e+01
7.176399999999999579e+01,2.390500000000000114e+01
7.176500000000000057e+01,2.390899999999999892e+01
7.176800000000000068e+01,2.392200000000000060e+01
7.176999999999999602e+01,2.392999999999999972e+01
7.177100000000000080e+01,2.393299999999999983e+01
7.177200000000000557e+01,2.393900000000000006e+01
7.177299999999999613e+01,2.394399999999999906e+01
7.177500000000000568e+01,2.395200000000000173e+01
7.177800000000000580e+01,2.396499999999999986e+01
7.178000000000000114e+01,2.397299999999999898e+01
7.178300000000000125e+01,2.398600000000000065e+01
7.178400000000000603e+01,2.398999999999999844e+01
7.178499999999999659e+01,2.399399999999999977e+01
7.178700000000000614e+01,2.400300000000000011e+01
7.178900000000000148e+01,2.401099999999999923e+01
7.179000000000000625e+01,2.401599999999999824e+01
7.179099999999999682e+01,2.401999999999999957e+01
7.179200000000000159e+01,2.402400000000000091e+01
7.179300000000000637e+01,2.402799999999999869e+01
7.179500000000000171e+01,2.403699999999999903e+01
7.179699999999999704e+01,2.404500000000000171e+01
7.179900000000000659e+01,2.405399999999999849e+01
7.180100000000000193e+01,2.406200000000000117e+01
7.180200000000000671e+01,2.406700000000000017e+01
7.180299999999999727e+01,2.407100000000000151e+01
7.180400000000000205e+01,2.407499999999999929e+01
7.180700000000000216e+01,2.408800000000000097e+01
7.180800000000000693e+01,2.409199999999999875e+01
7.181100000000000705e+01,2.410500000000000043e+01
7.181199999999999761e+01,2.410900000000000176e+01
7.181499999999999773e+01,2.412199999999999989e+01
7.181699999999999307e+01,2.413100000000000023e+01
7.181900000000000261e+01,2.413899999999999935e+01
7.182099999999999795e+01,2.414799999999999969e+01
7.182200000000000273e+01,2.415200000000000102e+01
7.182299999999999329e+01,2.415599999999999881e+01
7.182500000000000284e+01,2.416499999999999915e+01
7.182599999999999341e+01,2.416900000000000048e+01
7.182699999999999818e+01,2.417299999999999827e+01
7.182899999999999352e+01,2.418199999999999861e+01
7.183100000000000307e+01,2.419000000000000128e+01
7.183299999999999841e+01,2.419900000000000162e+01
7.183400000000000318e+01,2.420299999999999940e+01
7.183499999999999375e+01,2.420700000000000074e+01
7.183599999999999852e+01,2.421199999999999974e+01
7.183799999999999386e+01,2.421999999999999886e+01
7.184099999999999397e+01,2.423300000000000054e+01
7.184199999999999875e+01,2.423699999999999832e+01
7.184300000000000352e+01,2.424099999999999966e+01
7.184399999999999409e+01,2.424599999999999866e+01
7.184600000000000364e+01,2.425400000000000134e+01
7.184799999999999898e+01,2.426300000000000168e+01
7.184900000000000375e+01,2.426699999999999946e+01
7.184999999999999432e+01,2.427100000000000080e+01
7.185099999999999909e+01,2.427599999999999980e+01
7.185299999999999443e+01,2.428399999999999892e+01
7.185599999999999454e+01,2.429700000000000060e+01
7.185800000000000409e+01,2.430499999999999972e+01
7.185999999999999943e+01,2.431400000000000006e+01
7.186100000000000421e+01,2.431800000000000139e+01
7.186199999999999477e+01,2.432199999999999918e+01
7.186400000000000432e+01,2.433099999999999952e+01
7.186499999999999488e+01,2.433500000000000085e+01
7.186700000000000443e+01,2.434400000000000119e+01
7.186799999999999500e+01,2.434799999999999898e+01
7.187000000000000455e+01,2.435699999999999932e+01
7.187099999999999511e+01,2.436100000000000065e+01
7.187199999999999989e+01,2.436499999999999844e+01
7.187399999999999523e+01,2.437399999999999878e+01
7.187500000000000000e+01,2.437800000000000011e+01
7.187600000000000477e+01,2.438200000000000145e+01
7.187699999999999534e+01,2.438700000000000045e+01
7.187900000000000489e+01,2.439499999999999957e+01
7.188100000000000023e+01,2.440399999999999991e+01
7.188200000000000500e+01,2.440800000000000125e+01
7.188400000000000034e+01,2.441700000000000159e+01
7.188599999999999568e+01,2.442500000000000071e+01
7.188800000000000523e+01,2.443299999999999983e+01
7.188899999999999579e+01,2.443799999999999883e+01
7.189000000000000057e+01,2.444200000000000017e+01
7.189100000000000534e+01,2.444600000000000151e+01
7.189300000000000068e+01,2.445499999999999829e+01
7.189499999999999602e+01,2.446300000000000097e+01
7.189700000000000557e+01,2.447200000000000131e+01
7.189799999999999613e+01,2.447599999999999909e+01
7.190000000000000568e+01,2.448499999999999943e+01
7.190099999999999625e+01,2.448900000000000077e+01
7.190200000000000102e+01,2.449299999999999855e+01
7.190399999999999636e+01,2.450199999999999889e+01
7.190600000000000591e+01,2.451000000000000156e+01
7.190699999999999648e+01,2.451500000000000057e+01
7.190800000000000125e+01,2.451899999999999835e+01
7.190999999999999659e+01,2.452799999999999869e+01
7.191200000000000614e+01,2.453600000000000136e+01
7.191400000000000148e+01,2.454500000000000171e+01
7.191500000000000625e+01,2.454899999999999949e+01
7.191599999999999682e+01,2.455300000000000082e+01
7.191700000000000159e+01,2.455799999999999983e+01
7.191899999999999693e+01,2.456599999999999895e+01
7.192100000000000648e+01,2.457499999999999929e+01
7.192199999999999704e+01,2.457900000000000063e+01
7.192300000000000182e+01,2.458299999999999841e+01
7.192400000000000659e+01,2.458800000000000097e+01
7.192600000000000193e+01,2.459600000000000009e+01
7.192900000000000205e+01,2.460900000000000176e+01
7.193200000000000216e+01,2.462199999999999989e+01
7.193500000000000227e+01,2.463500000000000156e+01
7.193600000000000705e+01,2.463899999999999935e+01
7.193800000000000239e+01,2.464699999999999847e+01
7.193899999999999295e+01,2.465200000000000102e+01
7.194100000000000250e+01,2.466000000000000014e+01
7.194199999999999307e+01,2.466499999999999915e+01
7.194299999999999784e+01,2.466900000000000048e+01
7.194400000000000261e+01,2.467299999999999827e+01
7.194499999999999318e+01,2.467800000000000082e+01
7.194599999999999795e+01,2.468199999999999861e+01
7.194700000000000273e+01,2.468599999999999994e+01
7.194799999999999329e+01,2.469000000000000128e+01
7.194899999999999807e+01,2.469500000000000028e+01
7.195000000000000284e+01,2.469900000000000162e+01
7.195099999999999341e+01,2.470299999999999940e+01
7.195300000000000296e+01,2.471199999999999974e+01
7.195399999999999352e+01,2.471600000000000108e+01
7.195699999999999363e+01,2.472899999999999920e+01
7.195799999999999841e+01,2.473300000000000054e+01
7.195999999999999375e+01,2.474200000000000088e+01
7.196099999999999852e+01,2.474599999999999866e+01
7.196299999999999386e+01,2.475499999999999901e+01
7.196399999999999864e+01,2.475900000000000034e+01
7.196699999999999875e+01,2.477199999999999847e+01
7.196899999999999409e+01,2.478000000000000114e+01
7.196999999999999886e+01,2.478500000000000014e+01
7.197199999999999420e+01,2.479299999999999926e+01
7.197299999999999898e+01,2.479799999999999827e+01
7.197400000000000375e+01,2.480199999999999960e+01
7.197499999999999432e+01,2.480600000000000094e+01
7.197599999999999909e+01,2.481099999999999994e+01
7.197700000000000387e+01,2.481500000000000128e+01
7.197799999999999443e+01,2.481899999999999906e+01
7.197899999999999920e+01,2.482400000000000162e+01
7.198000000000000398e+01,2.482799999999999940e+01
7.198099999999999454e+01,2.483200000000000074e+01
7.198300000000000409e+01,2.484100000000000108e+01
7.198399999999999466e+01,2.484499999999999886e+01
7.198699999999999477e+01,2.485800000000000054e+01
7.198799999999999955e+01,2.486199999999999832e+01
7.198999999999999488e+01,2.487099999999999866e+01
7.199200000000000443e+01,2.487900000000000134e+01
7.199299999999999500e+01,2.488400000000000034e+01
7.199500000000000455e+01,2.489199999999999946e+01
7.199599999999999511e+01,2.489699999999999847e+01
7.199699999999999989e+01,2.490099999999999980e+01
7.199800000000000466e+01,2.490500000000000114e+01
7.199899999999999523e+01,2.491000000000000014e+01
7.200100000000000477e+01,2.491799999999999926e+01
7.200199999999999534e+01,2.492200000000000060e+01
7.200400000000000489e+01,2.493100000000000094e+01
7.200499999999999545e+01,2.493499999999999872e+01
7.200700000000000500e+01,2.494399999999999906e+01
7.200799999999999557e+01,2.494800000000000040e+01
7.201000000000000512e+01,2.495700000000000074e+01
7.201099999999999568e+01,2.496099999999999852e+01
7.201399999999999579e+01,2.497400000000000020e+01
7.201699999999999591e+01,2.498699999999999832e+01
7.201999999999999602e+01,2.500000000000000000e+01
7.202299999999999613e+01,2.501300000000000168e+01
7.202599999999999625e+01,2.502599999999999980e+01
7.202800000000000580e+01,2.503399999999999892e+01
7.202899999999999636e+01,2.503900000000000148e+01
7.203000000000000114e+01,2.504299999999999926e+01
7.203100000000000591e+01,2.504700000000000060e+01
7.203300000000000125e+01,2.505600000000000094e+01
7.203400000000000603e+01,2.505999999999999872e+01
7.203600000000000136e+01,2.506899999999999906e+01
7.203700000000000614e+01,2.507300000000000040e+01
7.203900000000000148e+01,2.508200000000000074e+01
7.204000000000000625e+01,2.508599999999999852e+01
7.204099999999999682e+01,2.508999999999999986e+01
7.204200000000000159e+01,2.509400000000000119e+01
7.204399999999999693e+01,2.510300000000000153e+01
7.204699999999999704e+01,2.511599999999999966e+01
7.204999999999999716e+01,2.512900000000000134e+01
7.205200000000000671e+01,2.513800000000000168e+01
7.205299999999999727e+01,2.514199999999999946e+01
7.205400000000000205e+01,2.514600000000000080e+01
7.205500000000000682e+01,2.515099999999999980e+01
7.205599999999999739e+01,2.515500000000000114e+01
7.205700000000000216e+01,2.516000000000000014e+01
7.205899999999999750e+01,2.516799999999999926e+01
7.206199999999999761e+01,2.518100000000000094e+01
7.206300000000000239e+01,2.518499999999999872e+01
7.206399999999999295e+01,2.518900000000000006e+01
