lat,lon,thick,dist,cumdist
7.162417112500000371e+01,-1.543489108611111078e+02,2.228099999999999969e+00,1.997387380531535417e+00,8.385739054786287738e+01
7.162380710416667284e+01,-1.542919418101851932e+02,2.228099999999999969e+00,1.997425565081065946e+00,8.585481611294393645e+01
7.162344308333332776e+01,-1.542349727592592501e+02,2.243199999999999861e+00,1.997463755668756891e+00,8.785227986861269756e+01
7.162307906249999689e+01,-1.541780037083333355e+02,2.235700000000000021e+00,1.997501941014284466e+00,8.984978180962697536e+01
7.162271504166666602e+01,-1.541210346574074208e+02,2.221799999999999997e+00,1.997540127885806482e+00,9.184732193751278828e+01
7.162235102083333516e+01,-1.540640656064814777e+02,-1.000000000000000000e+00,1.997578314027325552e+00,9.384490025154011050e+01
7.162198700000000429e+01,-1.540070965555555631e+02,2.086100000000000065e+00,1.997616499438884530e+00,9.584251675097900147e+01
7.162162297916665921e+01,-1.539501275046296200e+02,2.020399999999999974e+00,1.997654686376347577e+00,9.784017143735535171e+01
7.162125895833332834e+01,-1.538931584537037054e+02,2.024199999999999999e+00,1.997692870328067194e+00,9.983786430768341802e+01
7.162089493749999747e+01,-1.538361894027777907e+02,2.024700000000000166e+00,1.997731055805689104e+00,1.018355953634891051e+02
7.162053091666666660e+01,-1.537792203518518477e+02,2.024700000000000166e+00,1.997769242809125156e+00,1.038333646062982325e+02
7.162016689583333573e+01,-1.537222513009259330e+02,2.034600000000000186e+00,1.997807426826986754e+00,1.058311720331252133e+02
7.161980287500000486e+01,-1.536652822500000184e+02,2.034600000000000186e+00,1.997845612370660051e+00,1.078290176454958669e+02
7.161943885416665978e+01,-1.536083131990740753e+02,1.961200000000000054e+00,1.997883799440057784e+00,1.098269014449359275e+02
7.161907483333332891e+01,-1.535513441481481607e+02,2.047299999999999898e+00,1.997921983524049816e+00,1.118248234284599789e+02
7.161871081249999804e+01,-1.534943750972222176e+02,2.040399999999999991e+00,1.997960169133763397e+00,1.138227835975937410e+02
7.161834679166666717e+01,-1.534374060462963030e+02,2.093599999999999905e+00,1.997998356269111264e+00,1.158207819538628485e+02
7.161798277083333630e+01,-1.533804369953703599e+02,2.131699999999999928e+00,1.998036540419222185e+00,1.178188184942820698e+02
7.161761875000000543e+01,-1.533234679444444453e+02,2.131699999999999928e+00,1.998074723839615929e+00,1.198168932181216917e+02
7.161725472916666035e+01,-1.532664988935185306e+02,2.151800000000000157e+00,1.998112908785640185e+00,1.218150061269073348e+02
7.161689070833332948e+01,-1.532095298425925876e+02,2.262799999999999923e+00,1.998151093001944600e+00,1.238131572199092858e+02
7.161652668749999862e+01,-1.531525607916666729e+02,2.262799999999999923e+00,1.998189278743791153e+00,1.258113464986530801e+02
7.161616266666666775e+01,-1.530955917407407583e+02,2.138399999999999856e+00,1.998227461500738933e+00,1.278095739601538128e+02
7.161579864583333688e+01,-1.530386226898148152e+02,2.138399999999999856e+00,1.998265648038359377e+00,1.298078396081921824e+02
7.161543462500000601e+01,-1.529816536388889006e+02,2.159499999999999975e+00,1.998303833846254651e+00,1.318061434420384330e+02
7.161507060416666093e+01,-1.529246845879629575e+02,2.145700000000000163e+00,1.998342018924467611e+00,1.338044854609628942e+02
7.161470658333333006e+01,-1.528677155370370428e+02,2.142399999999999860e+00,1.998380201018035374e+00,1.358028656619809169e+02
7.161434256249999919e+01,-1.528107464861111282e+02,2.115299999999999958e+00,1.998418386892012233e+00,1.378012840488729296e+02
7.161397854166666832e+01,-1.527537774351851851e+02,2.121100000000000207e+00,1.998456572036345413e+00,1.397997406209092617e+02
7.161361452083333745e+01,-1.526968083842592705e+02,2.121100000000000207e+00,1.998494756451076659e+00,1.417982353773603279e+02
7.161325049999999237e+01,-1.526398393333333274e+02,2.076099999999999834e+00,1.998532940136248159e+00,1.437967683174965714e+02
7.161288647916666150e+01,-1.525828702824074128e+02,2.076099999999999834e+00,1.998571123091901436e+00,1.457953394405884637e+02
7.161252245833333063e+01,-1.525259012314814981e+02,2.128099999999999881e+00,1.998609309827569902e+00,1.477939487504160354e+02
7.161215843749999976e+01,-1.524689321805555551e+02,2.086599999999999788e+00,1.998647491324226477e+00,1.497925962417402559e+02
7.161179441666666889e+01,-1.524119631296296404e+02,2.114199999999999857e+00,1.998685676600809202e+00,1.517912819183410704e+02
7.161143039583333803e+01,-1.523549940787036974e+02,2.153200000000000003e+00,1.998723861147869041e+00,1.537900057794889506e+02
7.161106637499999295e+01,-1.522980250277777827e+02,2.187100000000000044e+00,1.998762040456300682e+00,1.557887678199452637e+02
7.161070235416666208e+01,-1.522410559768518681e+02,2.214599999999999902e+00,1.998800223544525689e+00,1.577875680434897845e+02
7.161033833333333121e+01,-1.521840869259259250e+02,2.115400000000000169e+00,1.998838405903352822e+00,1.597864064493931266e+02
7.160997431250000034e+01,-1.521271178750000104e+02,2.127299999999999969e+00,1.998876594296156162e+00,1.617852830436892759e+02
7.160961029166666947e+01,-1.520701488240740673e+02,2.127299999999999969e+00,1.998914775196184435e+00,1.637841978188854739e+02
