date,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2010-01-10,Oct2010,1.5574937535,1.40802968219,1.62863666148,1.83184125042,1.09053251924,0.907337674635,0.827809656841,0.860504757531,0.72510959507,0.801377991453,0.996836781609,0.0,0.0,1.51069181982,0.0,0.0231904761905,0.0,0.0,0.0,0.75394,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,Nov2010,1.85077220791,1.60313390393,1.76420096728,2.16010701736,1.52407722723,1.21141748056,0.910744174448,0.95996276057,0.87940192147,0.982620713913,0.838704337735,0.923346828666,1.63845328467,1.88424871355,0.0,1.20966989088,1.28896930233,0.884829189189,1.31721626214,0.8873444,0,0,0.0,0.0,0.0,0.720987179487,0.0,1.33288735632
2010-01-12,Dec2010,1.93824347248,1.64520081764,1.85438595726,2.2622456231,1.7708995555,1.2317212843,1.05326100822,1.15854796128,1.10634217842,1.12259959789,0.980924028125,1.30460392268,1.32774339263,1.76281065508,1.75196666667,1.16846738576,1.53845353698,1.28549575221,0.866642370476,1.1765941989,0,0,1.01109800995,0.6208,0.0,1.27925172414,0.0,1.05723127895
2011-01-01,Jan2011,2.1797155323,1.87300014164,1.93727221244,2.46040176345,2.06938378028,1.49307437242,1.33487620946,1.45472574366,1.40400637116,1.49789724925,1.39037283107,1.36834186909,1.59653698428,2.1677898658,1.39755148248,1.24805611459,1.30614425813,1.56123137996,1.17912701379,1.64540471976,0,0,1.09484166667,1.07425116883,0.0618913793103,1.34968288,1.29581558935,1.26622540609
2011-01-02,Feb2011,2.38235263599,2.09333800739,2.1159301976,2.512908943,2.28305473093,1.71448029025,1.69564688371,1.65201918213,1.58623528445,1.52740809091,1.59303500921,1.58081410075,1.60988994437,2.43404030377,0.815825568182,1.28275486799,1.32644639175,1.74937145791,1.5975737452,1.308457844,0,0,1.78631657754,1.41700005784,0.0208,2.04830085197,1.54616275416,1.58766391141
2011-01-03,Mar2011,2.62818124095,2.29120922272,2.46577012118,2.92480196016,2.54697738063,1.99035455452,1.84853446044,1.94351669983,1.76996681588,1.71092726031,1.78751395975,1.64177084396,1.82979714286,2.41631645491,1.34793997785,1.4982835221,1.59990354839,1.92900956023,1.5633130163,1.10672133971,0,0,1.87799521277,1.43892030361,0.709286694102,2.04181246696,1.38920290237,1.73376588201
2011-01-04,Apr2011,2.75560370349,2.35676095037,2.54866639781,3.06171377833,2.57765939472,2.19407572351,1.98274735643,2.00422728693,1.74228788293,1.65243487941,1.65175981119,1.46014600273,1.72720713101,2.63019029503,1.28844064516,1.46997481383,1.58550544174,1.84302727273,1.58750128351,1.51649225923,0,0,1.39949714286,0.929369760479,0.353747692308,2.30363724559,1.61821592973,1.68718039378
2011-01-10,Oct2011,1.16508449493,1.14302286595,1.42762052915,1.0938681307,0.701828504673,0.934704515501,0.859602793172,0.831252512801,0.779236444444,0.830934405145,0.9047,0.0,0.0,1.39673601469,0.0,0.618405890052,0.0,0.0,0.0,0.5077,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-11,Nov2011,1.58661306934,1.3169434898,1.60034510398,1.6325983312,1.18099324629,1.06487590557,0.981208182664,0.958020881238,0.882786518601,0.871380256483,0.870359007564,2.96616582598,0.0,1.78126615925,0.8854,0.854805315583,0.977648220641,1.39475784946,0.4487859375,1.03088671329,0,0,0.0,0.0,0.0,1.41065915493,0.589989361702,0.917382241015
2011-01-12,Dec2011,1.86562479382,1.34173472194,1.78770858572,2.11355805933,1.42643041622,1.23477956159,1.09374312591,1.02901005098,1.05933552152,0.994538545455,1.14780558568,0.939107007708,0.757371612903,1.80658980283,1.06277577578,1.10850507142,1.22439036496,1.36365698529,1.15488147981,1.02673469945,0,0,0.0,0.0,0.0,1.56194168675,1.09936349604,1.10671327862
2012-01-01,Jan2012,2.14785139603,1.56111217676,1.87203269961,2.41434812674,1.64832122148,1.49979030362,1.2823962898,1.2969928468,1.27923239568,1.26601189345,1.19188927118,1.33143889068,1.03295508475,2.6199573481,1.16079120988,1.25580984615,1.43807980214,1.8319729927,1.38495561115,1.14266944444,0,0,1.0916389313,0.0,0.0,2.23466195446,1.2470476384,1.37188440503
2012-01-02,Feb2012,2.22803185559,1.77148122276,2.29793641652,2.54765522356,1.89718586244,1.75089926945,1.57368489909,1.46706654394,1.41991664205,1.42176783992,1.42608099017,1.6885280303,2.4203,2.45877577559,1.19859319419,1.37975036704,1.40979868132,1.88789052133,1.67118499885,1.36431027714,0,0,1.31857058824,0.69374137931,0.730664238411,2.05634248609,1.50640294184,1.49376672123
2012-01-03,Mar2012,2.70015525589,1.91029747982,2.30963565342,2.92178401922,2.12492384386,1.86373117022,1.73936373203,1.66922071214,1.50187332387,1.50582955363,1.3415113456,1.29321849282,1.1051713615,3.35229655984,1.43160589327,1.6111876963,1.63353526109,2.09291232394,1.81600793659,1.50727268966,0,0,1.50115762712,1.56851666667,2.36417266187,2.89744013841,1.41083761752,1.69071115718
2012-01-04,Apr2012,2.80916282281,2.05885275121,2.25638874648,2.92796888009,2.37382693849,2.1439773335,2.00034721521,1.93347889941,1.6758185834,1.34795095533,1.25578018117,1.30505296437,1.1652467,2.56149040656,1.31629721237,1.56887615246,2.05108381234,2.361503125,1.84975196989,1.56682674638,0,0,1.00104065041,1.39380869565,3.0871,2.25130435754,1.56695869657,1.65319655389
