lat,lon,thick,dist,cumdist
7.694360399999999345e+01,2.521185900000000046e+01,1.260999999999999899e+00,7.168139642760918306e+00,1.424610322567428057e+03
7.698483099999999979e+01,2.529805299999999946e+01,1.550999999999999934e+00,5.068404718971762257e+00,1.429678727286399862e+03
7.692412199999999700e+01,2.539407399999999981e+01,1.260999999999999899e+00,7.167854520046749833e+00,1.436846581806446693e+03
7.696528600000000608e+01,2.548071799999999953e+01,1.427599999999999980e+00,5.068271632969396201e+00,1.441914853439415992e+03
7.690451099999999940e+01,2.557573999999999970e+01,1.260999999999999899e+00,7.167554009498228851e+00,1.449082407448914182e+03
7.694561000000000206e+01,2.566282999999999959e+01,1.427599999999999980e+00,5.067969075880800034e+00,1.454150376524795092e+03
7.688476900000000569e+01,2.575685700000000011e+01,1.146300000000000097e+00,7.167342268003070060e+00,1.461317718792798132e+03
7.692580499999999688e+01,2.584438799999999858e+01,1.427599999999999980e+00,5.067887019559369044e+00,1.466385605812357426e+03
7.696681300000000192e+01,2.593247399999999914e+01,1.367799999999999905e+00,5.068201195546343740e+00,1.471453807007903833e+03
7.690586999999999307e+01,2.602538900000000055e+01,1.260999999999999899e+00,7.167655222010584914e+00,1.478621462229914414e+03
7.694681400000000338e+01,2.611391300000000015e+01,1.427599999999999980e+00,5.068083998913169630e+00,1.483689546228827567e+03
7.698772999999999911e+01,2.620299699999999987e+01,1.367799999999999905e+00,5.068452922586486942e+00,1.488757999151413969e+03
7.692668600000000367e+01,2.629478999999999900e+01,1.260999999999999899e+00,7.167984835550468503e+00,1.495925983986964411e+03
7.696753699999999299e+01,2.638430800000000076e+01,1.427599999999999980e+00,5.068290477170296349e+00,1.500994274464134605e+03
7.700835800000000120e+01,2.647439299999999918e+01,1.141899999999999915e+00,5.068537901057060147e+00,1.506062812365191576e+03
7.704915099999999484e+01,2.656505100000000041e+01,1.183799999999999963e+00,5.069026446054552437e+00,1.511131838811246098e+03
7.698797100000000171e+01,2.665556600000000032e+01,5.705000000000000071e-01,7.168766996902297350e+00,1.518300605808148475e+03
7.702869800000000566e+01,2.674665399999999948e+01,5.705000000000000071e-01,5.068845593904887536e+00,1.523369451402053301e+03
7.706939500000000010e+01,2.683831999999999951e+01,5.377999999999999448e-01,5.069191793484958630e+00,1.528438643195538361e+03
7.700811600000000112e+01,2.692767800000000022e+01,5.705000000000000071e-01,7.169103912460394135e+00,1.535607747107998648e+03
7.704874700000000587e+01,2.701977000000000118e+01,5.705000000000000071e-01,5.069067666070970368e+00,1.540676814774069726e+03
7.708934700000000362e+01,2.711244599999999849e+01,1.059900000000000064e+00,5.069383526313286481e+00,1.545746198300382957e+03
